user_id,user_chat,,user_call
8543818,"[Ok,Ok,Hii,Hii,WhatsApp call Karoge,WhatsApp call Karoge,9354541645,9354541645]",,"[Ok,Hii,WhatsApp call Karoge,9354541645,Hello?,Hello?,Hello?]"
8525518,"[Hey my name is Preeti,Hey my name is Preeti,I'm from Kotdwar,I'm from Kotdwar]",,"[Hey my name is Preeti,I'm from Kotdwar]"
8680653,"[Hello,,Thank you.,Yes.,No,Please,,Oi?,Sorry.,Please, give me the,I'm sorry,Nim,Name.,My name is acid.,Is your name,I am somewhere.,I am from,How are you from?,I work at,What do you,Like,I like,I like,Don't like,I don't,Like winter,I don't like winter.,Do you like?,Do you like,Really.,In light,I really like,I really liked music.,I really,Large.,What?,What?,Watch,Eight,I watch cricket,Read,I read books.,Le,Play.,Play cricket,I play,Watching cricket. I like watching,I like reading books.,I like playing करके,What do you do in your free,I like playing cricket on holidays.,Sometimes,,I like watching movies.,Sometime I like watching movie.,Sometime I like]",,"[Let's talk about hobbies,Let's talk about hobbies,Let's talk about hobbies,Playing cricket,Playing cricket,Playing cricket,Yes, I play in a team,Yes, I play in a team,Yes, I play in a team,All-rounder,All-rounder,All-rounder,Batting mostly,Batting mostly,Batting mostly,Pull shot,Pull shot,Pull shot,Yes, I love it,Yes, I love it,Yes, I love it,Virat Kohli,Virat Kohli,Virat Kohli,He is consistent,He is consistent,He is consistent,AB de Villiers,AB de Villiers,AB de Villiers,The scoop shot,The scoop shot,The scoop shot,Switch hit,Switch hit,Switch hit,Yes, I play,Yes, I play,Yes, I play,Opening batter,Opening batter,Opening batter,Cover drive,Cover drive,Cover drive,Sometimes,Sometimes,Sometimes,Read books,Read books,Read books,I read comics,I read comics,I read comics,Chacha Chaudhary,Chacha Chaudhary,Chacha Chaudhary,Only Chacha Chaudhary,Only Chacha Chaudhary,Only Chacha Chaudhary,He is funny,He is funny,He is funny,Play cricket,Play cricket,Play cricket,Yes, I do,Yes, I do,Yes, I do,Yes, Virat Kohli,Yes, Virat Kohli,Yes, Virat Kohli]"
7577262,"[I'm saiju,I'm saiju,Maharashtra Chandrapur,Maharashtra Chandrapur,Mera ghr hai yaha,Mera ghr hai yaha,Nhi samjha,Nhi samjha,😅,😅,Hello.,Thank you.,Yes.,No.,Please.,Sorry.,Please give me the pinch.,I'm sorry,I am Amit.,I am Amit.,I'm studying English.,I'm studying English.,I want to improve my vocabulary.,I want to improve my vocabulary.,I want to improve my vocabulary.,My name is [Name],My name is [Name],I live in Mumbai.,I live in Mumbai.,I'm a student.,I'm a student.,I'm in college for commerce.,I'm in college for commerce.,It's okay, sometimes it's tough.,It's okay, sometimes it's tough.,My name is,I need to sume. I need to sume.,My name is Omar.,What please be your name?,I'm from,Yeah,Where are you from?,I work,What do]",,"[I'm saiju,Maharashtra Chandrapur,Mera ghr hai yaha,Nhi samjha,😅,I am Amit.,I'm studying English.,I want to improve my vocabulary.,My name is [Name],I live in Mumbai.,I'm a student.,I'm in college for commerce.,It's okay, sometimes it's tough.]"
8085668,"[yes I am done,thanks Riya thanks Riya,And,Name.,My name,Large.,What do you what is your name?,I am from Trupura.,I am from,We are ready for,We are Rari Yukon.,You are Ari up from.,Where Where,I want,is,Minasa restaurant Minasa.,I work,What do you,thanks good your study I study,Use my name Riya.,Use my name Riya.,My bill is too high.,My bill is too high.,No, I want to complain directly.,No, I want to complain directly.,Can we add something else?,Can we add something else?,Yes, that sounds good.,Yes, that sounds good.,I want to know why,I want to know why]",,"[Use my name Riya.,My bill is too high.,No, I want to complain directly.,Can we add something else?,Yes, that sounds good.,I want to know why]"
8439927,"[Hello?,Thank you.,Yes, बोलो भी,No. I'm working.,Please,Sorry.,Please do with the pain,Please give,I'm sorry.,do you need any help to study,Ma'am.,Dan e, ami, name mangenau,,My name is,What is your day,Bombay.,I am from,Where are you?,I work as,What do you,I was today,yesterday college,Like,I like you.,I like you.,Don't Like,Bolo Addon't Place,don't like,I don't like,Like,Do you like,Do you like,Lilly पसंद.,I'll,like really,I really like,I really like cough.,how do you start your day,dost aunty,what would like,dinner plan,You can call me satish,You can call me satish,I am from Delhi,I am from Delhi,The people are friendly,The people are friendly,Hauz Khas Village is nice.,Hauz Khas Village is nice.,My name is Priya,My name is Priya,I need bus info,I need bus info,Tell me about buses to Delhi.,Government buses are fine.,Government buses are fine.,I think Kashmere Gate.,I think Kashmere Gate.,Morning buses please,Morning buses please,Tell me the exact times,Tell me the exact times,Tell me the exact times,No,No]",,"[You can call me satish,I am from Delhi,The people are friendly,Hauz Khas Village is nice.,My name is Priya,I need bus info,Tell me about buses to Delhi.,Government buses are fine.,I think Kashmere Gate.,Morning buses please,Tell me the exact times,No]"
8476631,"[No,How are you,How are you,My name is kaushik,My name is kaushik,I am from Maharashtra,I am from Maharashtra,Palghar,Palghar,Yes, it's a coastal district.,Yes, it's a coastal district.,Yes, I love it here.,Yes, I love it here.,I love the beaches,I love the beaches,I love the beaches,Just relax and enjoy,Just relax and enjoy,Hello?,Thank you.,Yes.,No.,Leads,Hello?,Thank you.,Yes.,No.,Me.,Means.,Please.,Sol.,Sorry.,Give me the,I'm,sorry.,I will leaving at home,No.,Name.,My name is,What is your main,I'm from,Yeah I'm just calling,Where are,I work,What do you do?,I studies please excited college,Like.,I like,Yeah. I like,Like.,Don't like.,I don't,I don't like,Do you like?,Do you like,Really?,I really like.,I really like,the toast anti,Yes, I have time.,Yes, I have time.,Yes, let's start.,Yes, let's start.,Yes, let's start.,Yes, they seem achievable.,Yes, they seem achievable.,Yes, they seem achievable.,We might need more resources.,We might need more resources.,More staff for the sales team.,More staff for the sales team.,Let's discuss the exact number.,Let's discuss the exact number.,Maybe tomorrow morning?,Maybe tomorrow morning?,Yes, let's set a time.,Yes, let's set a time.,Yes, 10 AM is perfect.,Yes, 10 AM is perfect.,No, that's all.,No, that's all.,No, that's all.,Thank you, you too!,Thank you, you too!,Thank you, you too!,Ocho.,Watch.,I,I watched video.,I watched,Read. Read.,I've been doing well.,I've been doing well.,The XYZ project was great.,The XYZ project was great.,The was amazing,The was amazing,Learned lot,Learned lot,Watch,I watch,My name is kaushik,My name is kaushik,I am from Maharashtra,I am from Maharashtra,I am from Palghar,I am from Palghar,Yes.its near Mumbai,Yes.its near Mumbai,Peaceful,Peaceful,Very different,Very different,Very different,Like nature,Like nature,Yes many bechesshh,Yes many bechesshh,Why are you jeles,Why are you jeles,Why are you jeles,Chinachni beach,Chinachni beach,Tell me for interview questions in HR executive,Tell me for interview questions in HR executive,Tell me for interview questions in HR executive,Yes I am ready,I improved employee culture,I improved employee culture,I focused on communication.,I focused on communication.,We had team meetings.,We had team meetings.,It varied, actually.,It varied, actually.,Feedback was mostly positive.,Feedback was mostly positive.,They appreciated the updates.,They appreciated the updates.,They appreciated the updates.,Team member achievements.,Team member achievements.]",,"[No,How are you,My name is kaushik,I am from Maharashtra,Palghar,Yes, it's a coastal district.,Yes, I love it here.,I love the beaches,Just relax and enjoy,Yes, I have time.,Yes, let's start.,Yes, they seem achievable.,We might need more resources.,More staff for the sales team.,Let's discuss the exact number.,Maybe tomorrow morning?,Yes, let's set a time.,Yes, 10 AM is perfect.,No, that's all.,Thank you, you too!,I've been doing well.,The XYZ project was great.,The was amazing,Learned lot,My name is kaushik,I am from Maharashtra,I am from Palghar,Yes.its near Mumbai,Peaceful,Very different,Like nature,Yes many bechesshh,Why are you jeles,Chinachni beach,Tell me for interview questions in HR executive,Yes I am ready,I improved employee culture,I focused on communication.,We had team meetings.,It varied, actually.,Feedback was mostly positive.,They appreciated the updates.,Team member achievements.]"
8272824,"[Hello,Hello,કેમસો,ગુજરાતી લખો,ગુજરાતી લખો,English bowl ना सीखा हूँ.,English bowl ना सीखा हूँ.,आप English में ही बात करते हो एक बार.,आप English में ही बात करते हो एक बार.,ભુસ,ભુસ,I like you know, but luck to see it.,I like you know, but luck to see it.]",,"[Hello,કેમસો,ગુજરાતી લખો,English bowl ना सीखा हूँ.,आप English में ही बात करते हो एक बार.,ભુસ,I like you know, but luck to see it.]"
7519260,"[I study English,I study English,I enjoy speaking practice.,I enjoy speaking practice.,I like talking about food.,I like talking about food.,I'm a big foodie,I'm a big foodie,उसका mood अच्छा से नहीं जानता है.,उसका mood अच्छा से नहीं जानता है.]",,"[हां मैं seat में जाता हूं.,हां मैं seat में जाता हूं.,हां मैं seat में जाता हूं.,I study English,I enjoy speaking practice.,I like talking about food.,I'm a big foodie,उसका mood अच्छा से नहीं जानता है.]"
8655643,"[Hi I am adi,Hi I am adi,India and u,India and u,I speak english,I speak english,I speak english,I speak english,Ok,Ok,Hello my name is adi,Hello my name is adi,Hello my name is adi,Hello my name is adi,Moradabad,Moradabad,Moradabad,Moradabad,I am teacher,I am teacher,I am teacher,I am teacher,English so I am scared,English so I am scared,English so I am scared,English so I am scared,English so I am scared,English so I am scared,Ok,Ok,Ok,Ok,Ok,Ok,You carry on,You carry on,You carry on,You carry on,You carry on,You carry on,For  conversation to principal or students,For  conversation to principal or students,Yes,Yes,Yes,That I need leave,That I need leave,That I need leave,Mam I can do,Mam I can do,Mam I can do,May I please have leave,May I please have leave,May I please have leave,So I was going to immediately work,I need to work to go away,I need to work to go away,Ok I have to leave for work,Ok I have to leave for work,So I can go to out side,So I can go to out side,What about you,What about you,Continuous for speaking,Continuous for speaking,Ok teacher k lia hi bataiye,No,No,Only teaches for cbse board,No,No,Classes of students,Classes of students,Classes of students,Ok,Ok,Or,Or,I teaches some special word to conversation to principal and students,I teaches some special word to conversation to principal and students,You say,You say]",,"[Hi I am adi,India and u,I speak english,I speak english,Ok,Ok,Hello my name is adi,Hello my name is adi,Moradabad,Moradabad,I am teacher,I am teacher,English so I am scared,English so I am scared,Ok,Ok,You carry on,You carry on,For  conversation to principal or students,Yes,That I need leave,Mam I can do,May I please have leave,So I was going to immediately work,I need to work to go away,Ok I have to leave for work,So I can go to out side,What about you,Continuous for speaking,Ok teacher k lia hi bataiye,No,Only teaches for cbse board,No,Classes of students,Ok,Or,I teaches some special word to conversation to principal and students,You say]"
